model,question,language,answer,reference,is_hallucination,reasons
LoRA Fine-tuned,क्या 'पूर्ण-केवाईसी' पीपीआई से निधि अंतरण की अनुमति है?,hi,"उत्तर: हां, पीपीआई से निधि अंतरण की अनुमति है। इस तरह के पीपीआई के रूप में कोई भी निधि जारी करने और हस्तांतरण करने की अनुमति नहीं है। सभी पीपीआई जारी करने और कार्यालय के संविदा खाते में ह","उत्तर. हां, एक 'पूर्ण-केवाईसी' पीपीआई से प्रति धारक ₹10,000/- प्रति माह की सीमा के भीतर निधि अंतरण की अनुमति है। तथापि, पीपीआई धारक द्वारा लाभार्थी के 'पूर्व-पंजीकृत' होने पर प्रति लाभार्थी ₹2,00,000/",0,OK
LoRA Fine-tuned,"क्या प्राधिकृत गैर-बैंक पीएसपी, जो प्रत्यक्ष सदस्य हैं, सीपीएस में उप-सदस्यों के",hi,"नहीं। उदाहरण के लिए, सीपीएस में उप-सदस्यों को प्रत्यक्ष सदस्यों के रूप में निम्नलिखित प्रणालियों का पालन करना होगा:
### जवाब: सीपीएस के अन्य सदस्यों को शामिल करना होगा, जिन्हें ब",उत्तर. गैर-बैंक पीएसपी को केवल सीपीएस की प्रत्यक्ष सदस्यता की अनुमति होगी। उन्हें सीपीएस में उप-सदस्य के रूप में किसी भी बैंक/पीएसपी को प्रायोजित करने की अनुमति नहीं होगी।,0,OK
LoRA Fine-tuned,आरबीआई ओम्बड्समैन के समक्ष शिकायत दर्ज करने की प्रक्रिया क्या है?,hi,उत्तर: उत्तर: सीएए के तहत शिकायत दर्ज करने की प्रक्रिया को सीएए के अनुरूप निर्देशित किया गया है। व्यक्ति को शिकायत की जानकारी आधिकारिक वेबसाइट पर उपलब्ध है। बैंक के बारे में निर,शिकायत निम्नलिखित किसी भी तरीके से दर्ज की जा सकती है: ऑनलाइन – आरबीआई की शिकायत प्रबंध प्रणाली (सीएमएस) पोर्टल (https://cms.rbi.org.in) के माध्यम से। योजना के अनुबंध ‘क’ में निर्दिष्ट फार्म में ‘केंद,0,OK
LoRA Fine-tuned,क्या अचल संपत्ति के साथ चल संपत्ति का विवरण भी वेबसाइट पर अपलोड किया जाना चाहिए?,hi,उत्तर: नहीं। यदि निवेशक वेबसाइट पर अपना स्वयं का स्थानांतरण कर रहा है तो जारी किए गए सारे वेबसाइट के लिए निवेश और उनके बाद से संबंधित बैंकों के द्वारा जारी किए गए सारे निवेश का,"हाँ, सरफेसी अधिनियम, 2002 की धारा 13 (4) के अंतर्गत चल और अचल दोनों प्रतिभूति आस्तियां, जिस पर चल संपत्ति के मामले में प्रतिभूति (प्रवर्तन) नियम 2002 के नियम 3 (1) अथवा नियम 6 (2) और अचल संपत्ति के मा",0,OK
LoRA Fine-tuned,क्या वैयक्तिक सुनवाई के लिए उपस्थित होना अनिवार्य है?,hi,"उत्तर: नहीं, स्पष्टीकरण और सुझाव के लिए विनियमित सुनवाई के लिए उपस्थित होने की आवश्यकता नहीं है। प्रत्येक मुद्दे के लिए किसी भी बैंक के लिए विनियमित सुनवाई की आवश्यकता नहीं ह","उत्तर: वैयक्तिक सुनवाई या तो भौतिक रूप से या वर्चुअल माध्यम से की जा सकती है। यद्यपि, वैयक्तिक सुनवाई के लिए उपस्थित होना या इसका विकल्प चुनना अनिवार्य नहीं है। यदि कोई व्यक्ति व्यक्तिगत सुनवाई के लिए",0,OK
LoRA Fine-tuned,फ्रैंचाइज़ी करार की मुख्य विशेषताएं क्या हैं?,hi,"वर्तमान में, फ्रैंचाइज़ी कंपनियों के संचालन निदेशकों द्वारा स्वीकार किए जाने वाले योजनाओं को प्राथमिक रूप से पूर्ण होने के बाद और अन्य कार्रवाई के बाद किया जाएगा। फ","इस योजना के तहत, रिज़र्व बैंक एडी श्रेणी-I, एडी श्रेणी-II और एफएफएमसी को उनके विकल्प पर सीमित मुद्रा परिवर्तन कारोबार अर्थात विदेशी मुद्रा नोटों, सिक्कों या यात्री चेकों का परिवर्तन भारतीय रुपये में क",0,OK
LoRA Fine-tuned,सरकारी प्रतिभूति अधि‍नि‍यम के प्रावधानों का उल्लंघंन करने के लि‍ए दंड के क्या प्,hi,वर्तमान में भारतीय रि‍ज़र्व बैंक द्वारा प्राधि‍कृत जमाराशि‍ और प्रति‍भूति‍ नि‍गमों द्वारा जमाराशि‍ को नि‍गमान्तरण के लि‍ए कार्यवाही करने वाले प्रति‍भूति‍,"यदि कोई व्यक्ति कि‍सी सरकारी प्रति‍भूति‍ का अपने पक्ष में हक पाने अथवा कि‍सी अन्य व्यक्ति को यह हक दि‍लाने के लि‍ए मि‍थ्यावचन करता है, तो वह, अधिकतम 6 माह तक कारावास या जुर्माना या दोनों का पात्र होगा",0,OK
LoRA Fine-tuned,चिट फंड द्वारा धन स्वीकार करने और जमाराशियाँ स्वीकार करने में क्या अंतर है?,hi,"चिट फंड द्वारा धन स्वीकार करने और जमाराशियाँ स्वीकार करने में किसी प्रकार का अंतर नहीं है। चिट फंड नेटवर्क की मदद से, उपरोक्त ढांचे में कोई जमाराशियाँ नहीं होती हैं। प्रत्ये","भारतीय रिज़र्व बैंक अधिनियम 1934 के तहत जमाराशियों को परिभाषित किया गया है बशर्ते यह शेयर कैपिटल के रूप में जुटाया गया धन, बैंकों तथा अन्य वित्तीय संस्थाओं से प्राप्त राशि, प्रतिभूति जमा के रूप में प्र",0,OK
LoRA Fine-tuned,जुलाई 2017 के मास्टर निदेश विसविवि.एमएसएमई एंड एनएफएस.12/06.02.31/2017-18 के अनु,hi,ऋण दायर करना एक सुविधा है जिसे बैंकों को स्वचालित रूप से ऋण संबंधी आवेदन की पावती जनरेट करने के लिए उपयोग किया जा सकेगा। लेकिन बैंकों और ऋण प्रस्ताव के लिए विशिष्ट आवेदन स्त,"साथ ही, बैंकों को यह भी सूचित किया गया है कि वे एमएसएमई उधारकर्ताओं को लिखित रूप में मुख्‍य कारण/ कारणों को सूचित करें जिन पर बैंक द्वारा विधिवत विचार किए जाने के बाद ऋण संबंधी आवदेनों को अस्‍वीकृत कि",0,OK
Winning Ticket,Does RBI have any relationship with GAHs?,en,Yes. The RBI was conceived in 1987 when the Federal Reserve Board held a meeting in New York City. RBI is a central bank and is responsible for the coordination of the Federal Reserve’s Reserve Decisi,"While RBI will facilitate the trading platform for buying and selling of G-Secs, RBI shall not have any relationship, direct or otherwise, with any of the GAH granted access to NDS-OM Web. Further, th",1,"Novel numbers not in reference: {'1987', '600', '10', '000'}"
Winning Ticket,"If a company is a CIC but does not exactly meet the criteria specified, does the",en,Yes. The company is a CIC.,"Ans: A holding company not meeting the criteria for a CIC laid down in para 2 of Master Direction DoR(NBFC).PD.003/03.10.119/2016-17 dated August 25, 2016 would require to register as an NBFC. However",1,Very short answer (6 words) — possible evasion
Winning Ticket,Whether banks can purchase letter of allotment in respect of PSU Bonds?,en,"The bank cannot purchase the letter of allotment in respect of PSU bonds. However, it may buy the PSUs in the manner stated.",Banks can purchase letter of allotment in respect of PSU bonds subject to following conditions.,0,OK
Winning Ticket,"In RTGS, why is credit to the beneficiary given solely based on account number?",en,"As mentioned, credit to the beneficiary is given based on account number.
#",Ans. Transactions in RTGS happen in real time and it is not possible to match name and account number before affording credit to the beneficiary. Since name in the Indian context is spelt differently ,1,Very short answer (13 words) — possible evasion
Winning Ticket,Do all bank branches in India provide RTGS service? How can a remitting customer,en,RTGS is a non-transferable service provided by a bank to its customers. A remittance is valid only when there is a valid RTGS transaction. A remittance is valid only when the bank has not issued a val,"Ans. For a funds transfer to go through RTGS, both the sending bank branch and the receiving bank branch need to be RTGS enabled. Presently, there are more than 1,60,000 RTGS enabled bank branches, th",0,OK
Winning Ticket,Does the beneficiary need to maintain an account with a bank branch in Nepal?,en,"The beneficiary will be required to maintain an account with the bank in Nepal.
Answer: The benefits of a single bank account are limited to the following:
#","Ans: No, this is not mandatory. It would, however, be ideal if the beneficiary maintains an account with a bank branch in Nepal to which the credit could be afforded. In Nepal, the INRF Scheme is hand",0,OK
Winning Ticket,Whether interest rate stipulations applicable to loans in rupees under FCNR(B) s,en,"The interest rate stipulations applicable to loans in rupees under FCNR(B) scheme are applicable to loans denominated in foreign currency.
#",No. Interest rate stipulations applicable to loans in rupees under FCNR(B) scheme are not applicable to loans denominated in foreign currency which are governed by the instructions issued by Exchange ,1,Answer mostly repeats question (overlap=82%)
Winning Ticket,WHAT IS THE BACKGROUND FOR ADF?,en,"The background for Adf is that it is not a new feature, it was implemented in the original ADF version. It is a common feature in ADF that allows for various tasks to be done in a single window. The b","In several of its functions, Reserve Bank of India relies on data submitted by banks and quality of data is of great importance. In order to meet the need for correct and consistent data, the Reserve ",0,OK
Winning Ticket,Will the orders placed by clients be visible to PM?,en,"No, we don't want the order to be visible to PM.
#","The Primary Member being responsible for the settlement of the trades done by the GAH on the NDS OM Web Based Module, will have a view of the Orders placed by the GAH as well as the trades done by the",1,Very short answer (12 words) — possible evasion
Winning Ticket,Explain: Financial Education Programme for Adults (FEPA) was launched?,en,"The Financial Education Programme for Adults (FEPA) was launched by the Ministry of Finance under the Ministry of the Environment, Sustainable Development and Cooperation (MEDCO) in 2011. The Programm",The Financial Education Programme for Adults (FEPA) was launched by the in the month of September 2019. FEPA is a Financial Literacy Programme designed and implemented to spread financial awareness am,1,Novel numbers not in reference: {'2011'}
Winning Ticket,What is Duration?,en,Duration is the number of hours you need to spend in a particular activity to see a picture.,"27.1 Duration (also known as Macaulay Duration) of a bond is a measure of the time taken to recover the initial investment in present value terms. In simplest form, duration refers to the payback peri",1,Very short answer (18 words) — possible evasion
Winning Ticket,Can you repay your loan ahead of schedule? Is pre-payment of loan allowed?,en,"Yes, you can.
What is the most important factor in selecting the right lender?
### Answer: The most important factor is your credit rating, history of credit and your ability to pay back the loan.
You","Yes, most banks allow you to repay the loan ahead of schedule by making lump sum payments. However, many banks charge early repayment penalties up to 2-3% of the principal amount outstanding. Prepayme",0,OK
Winning Ticket,How does one get information about the price of a G-Sec?,en,"The price for the G-Sec is the same as the price of a VW Golf.
#","14.1 The return on a security is a combination of two elements (i) coupon income – that is, interest earned on the security and (ii) the gain / loss on the security due to price changes and reinvestme",1,Very short answer (16 words) — possible evasion
Winning Ticket,Are the instructions on microfinance loans issued under various Directions appli,en,Yes. The instructions on microfinance loans issued under various Directions applicable to all entities operating in the microfinance sector including trusts and societies do not apply to entities oper,"The instructions on microfinance loans issued under various Directions are applicable only to the regulated entities mentioned below: All Commercial Banks (including Small Finance Banks, Local Area Ba",1,Answer mostly repeats question (overlap=73%)
Winning Ticket,What are the Do's and Don’ts prescribed by RBI for the Co-operative banks dealin,en,"The Bank of India has a set of rules and regulations for the co-operative banks dealing in G-Secs. These rules and regulations are as follows:
1. The Co-operative Banks cannot be held in the hands of ","While undertaking transactions in securities, UCBs should adhere to the instructions issued by the RBI. The guidelines on transactions in G-Secs by the UCBs have been codified in the master circular D",1,"Novel numbers not in reference: {'2', '3'}"
Winning Ticket,यदि किसी अनिवासी के खाते में या खाते से भारत में किसी प्राधिकृत व्यापारी बैंक के,hi,"जी हाँ, एल.ई.आई. प्राप्त करना अनिवार्य है।","उत्तर. यदि किसी अनिवासी के भारत में रखे खाते में या खाते से कोई क्रेडिट अथवा डेबिट किसी निवासी के साथ लेनदेन के परिणामस्वरूप होता है तो उस पर विदेशी मुद्रा प्रबंध अधिनियम, 1999 (फेमा) के प्रावधान लागू",1,Very short answer (7 words) — possible evasion
Winning Ticket,क्या 'पूर्ण-केवाईसी' पीपीआई से निधि अंतरण की अनुमति है?,hi,"हाँ, पीपीआई केबल के साथ संचालित किया जा सकता है। इसका मतलब यह नहीं है कि आप अपने पीपीआई केबल को केवल शोध, विकास, निर्माण और संचालन के लिए उपयोग कर सकते हैं। आपके पीपीआई केबल के लिए संचाल","उत्तर. हां, एक 'पूर्ण-केवाईसी' पीपीआई से प्रति धारक ₹10,000/- प्रति माह की सीमा के भीतर निधि अंतरण की अनुमति है। तथापि, पीपीआई धारक द्वारा लाभार्थी के 'पूर्व-पंजीकृत' होने पर प्रति लाभार्थी ₹2,00,000/",0,OK
Winning Ticket,"क्या प्राधिकृत गैर-बैंक पीएसपी, जो प्रत्यक्ष सदस्य हैं, सीपीएस में उप-सदस्यों के",hi,भारतीय स्टेट बैंक में सीपीएस में उप-सदस्य किए जाने की संभावना है और कई अन्य बैंकों में भी हो सकती है। अगर आपको इन बैंकों का प्रतिनिधित्व मिले तो आपको अधिक राशि के लिए प्रतिनिधित्व,उत्तर. गैर-बैंक पीएसपी को केवल सीपीएस की प्रत्यक्ष सदस्यता की अनुमति होगी। उन्हें सीपीएस में उप-सदस्य के रूप में किसी भी बैंक/पीएसपी को प्रायोजित करने की अनुमति नहीं होगी।,0,OK
Winning Ticket,आरबीआई ओम्बड्समैन के समक्ष शिकायत दर्ज करने की प्रक्रिया क्या है?,hi,"इसे कृपया निम्न दिए गए लिंक को सेंड करें:
##",शिकायत निम्नलिखित किसी भी तरीके से दर्ज की जा सकती है: ऑनलाइन – आरबीआई की शिकायत प्रबंध प्रणाली (सीएमएस) पोर्टल (https://cms.rbi.org.in) के माध्यम से। योजना के अनुबंध ‘क’ में निर्दिष्ट फार्म में ‘केंद,1,Very short answer (10 words) — possible evasion
Winning Ticket,क्या अचल संपत्ति के साथ चल संपत्ति का विवरण भी वेबसाइट पर अपलोड किया जाना चाहिए?,hi,"हाँ, निम्नलिखित तरीके से मुफ्त में आपको अपलोड किया जा सकता है:
1. वेबसाइट पर लाइव मार्केटिंग
2. वेबसाइट पर पोर्टफोलियो को डिजाइन करने के लिए एक टेक्स्ट
3. सॉफ्टवेयर","हाँ, सरफेसी अधिनियम, 2002 की धारा 13 (4) के अंतर्गत चल और अचल दोनों प्रतिभूति आस्तियां, जिस पर चल संपत्ति के मामले में प्रतिभूति (प्रवर्तन) नियम 2002 के नियम 3 (1) अथवा नियम 6 (2) और अचल संपत्ति के मा",0,OK
Winning Ticket,क्या वैयक्तिक सुनवाई के लिए उपस्थित होना अनिवार्य है?,hi,"हाँ, साथ ही साथ आप आम तौर पर उपस्थित होने के लिए आवश्यक हैं।
#","उत्तर: वैयक्तिक सुनवाई या तो भौतिक रूप से या वर्चुअल माध्यम से की जा सकती है। यद्यपि, वैयक्तिक सुनवाई के लिए उपस्थित होना या इसका विकल्प चुनना अनिवार्य नहीं है। यदि कोई व्यक्ति व्यक्तिगत सुनवाई के लिए",1,Very short answer (15 words) — possible evasion
Winning Ticket,फ्रैंचाइज़ी करार की मुख्य विशेषताएं क्या हैं?,hi,"कार्पोरेट करारों में विशेषताएं दो कारकों का परिचय देती हैं:
- मुख्य विशेषता (अन्य करारों के मुकाबले)
- कक्षा (विशिष्ट करारों के मुकाबले)। कक्षा के तत्वों में कार","इस योजना के तहत, रिज़र्व बैंक एडी श्रेणी-I, एडी श्रेणी-II और एफएफएमसी को उनके विकल्प पर सीमित मुद्रा परिवर्तन कारोबार अर्थात विदेशी मुद्रा नोटों, सिक्कों या यात्री चेकों का परिवर्तन भारतीय रुपये में क",0,OK
Winning Ticket,सरकारी प्रतिभूति अधि‍नि‍यम के प्रावधानों का उल्लंघंन करने के लि‍ए दंड के क्या प्,hi,जिस तरह दंड का प्रावधान कि‍या गया है उसी तरह का प्रावधान कि‍या है क्योंकि‍ अधि‍नि‍यम के अनुसार दंड का प्रावधान वही होता है जि‍सको दंड लगाया गया था और मामले की जांच की जाती,"यदि कोई व्यक्ति कि‍सी सरकारी प्रति‍भूति‍ का अपने पक्ष में हक पाने अथवा कि‍सी अन्य व्यक्ति को यह हक दि‍लाने के लि‍ए मि‍थ्यावचन करता है, तो वह, अधिकतम 6 माह तक कारावास या जुर्माना या दोनों का पात्र होगा",0,OK
Winning Ticket,चिट फंड द्वारा धन स्वीकार करने और जमाराशियाँ स्वीकार करने में क्या अंतर है?,hi,"चिट को जमा किए गए धन का स्वामित्व लेने के लिए कोई प्रावधान नहीं है.
#","भारतीय रिज़र्व बैंक अधिनियम 1934 के तहत जमाराशियों को परिभाषित किया गया है बशर्ते यह शेयर कैपिटल के रूप में जुटाया गया धन, बैंकों तथा अन्य वित्तीय संस्थाओं से प्राप्त राशि, प्रतिभूति जमा के रूप में प्र",1,Very short answer (16 words) — possible evasion
Winning Ticket,जुलाई 2017 के मास्टर निदेश विसविवि.एमएसएमई एंड एनएफएस.12/06.02.31/2017-18 के अनु,hi,रिजर्व बैंक ने बैंकों को सूचित किया है कि वे बैंकों के केंद्रीय ऋण आवेदनों की ई-ट्रैकिंग की प्रणाली की सुविधा के लिए ऋण प्रस्ताव ट्रैकिंग प्रणाली (सीपीटीएस)/ समतुल्,"साथ ही, बैंकों को यह भी सूचित किया गया है कि वे एमएसएमई उधारकर्ताओं को लिखित रूप में मुख्‍य कारण/ कारणों को सूचित करें जिन पर बैंक द्वारा विधिवत विचार किए जाने के बाद ऋण संबंधी आवदेनों को अस्‍वीकृत कि",1,Answer mostly repeats question (overlap=83%)
